image_name,image_width,image_height,top_x,top_y,bottom_x,bottom_y
licensed_car0,806,466,0.722084367,0.587982833,0.868486352,0.688841202
licensed_car1,494,449,0.16194332,0.85077951,0.582995951,1
licensed_car2,500,314,0.082,0.697452229,0.23,0.828025478
licensed_car3,500,469,0.434,0.667377399,0.718,0.765458422
licensed_car4,1001,563,0.208791209,0.390763766,0.865134865,0.98401421
licensed_car5,416,431,0.254807692,0.649651972,0.627403846,0.777262181
licensed_car6,551,455,0.411978221,0.52967033,0.805807623,0.692307692
licensed_car7,550,537,0.485454545,0.461824953,0.72,0.595903166
licensed_car8,1569,1119,0.410757946,0.453714286,0.568867156,0.516571429
licensed_car9,1632,918,0.413202934,0.397101449,0.586797066,0.623188406
licensed_car10,642,400,0.31152648,0.345,0.657320872,0.5475
licensed_car11,1024,769,0.33984375,0.491547464,0.487304688,0.568270481
licensed_car12,640,435,0.3359375,0.427586207,0.6828125,0.549425287
licensed_car13,550,534,0.18,0.415730337,0.443636364,0.629213483
licensed_car14,500,265,0.302,0.388679245,0.72,0.701886792
licensed_car15,774,642,0.354005168,0.535825545,0.667958656,0.671339564
licensed_car16,769,417,0.379713914,0.618705036,0.635890767,0.767386091
licensed_car17,468,366,0.128205128,0.590163934,0.39957265,0.765027322
licensed_car18,492,393,0.678861789,0.486005089,0.880081301,0.595419847
licensed_car19,919,532,0.285092492,0.357142857,0.807399347,0.738721805
licensed_car20,470,375,0.314893617,0.474666667,0.755319149,0.733333333
licensed_car21,802,615,0.340399002,0.004878049,0.637157107,0.107317073
licensed_car22,768,1024,0.325520833,0.494140625,0.634114583,0.5703125
licensed_car23,768,1024,0.375,0.413085938,0.744791667,0.484375
licensed_car24,600,361,0.27,0.548476454,0.718333333,0.770083102
licensed_car25,624,450,0.453525641,0.395555556,0.693910256,0.491111111
licensed_car26,600,486,0.305,0.450617284,0.761666667,0.658436214
licensed_car27,500,399,0.098,0.463659148,0.494,0.736842105
licensed_car28,2656,1494,0.111654442,0.082608696,0.91198044,0.411594203
licensed_car29,1600,916,0.075794621,0.047008547,0.934800326,0.368945869
licensed_car30,1512,825,0.188264059,0.213751868,0.954360228,0.831091181
licensed_car31,1000,562,0.45,0.492882562,0.568,0.633451957
licensed_car32,610,485,0.185245902,0.490721649,0.460655738,0.64742268
licensed_car33,730,563,0.063013699,0.619893428,0.35890411,0.740674956
licensed_car34,3720,2472,0.318663407,0.391411043,0.668296659,0.548466258
licensed_car35,850,681,0.370588235,0.386196769,0.64,0.472834068
licensed_car36,320,240,0.303125,0.4125,0.609375,0.579166667
licensed_car37,304,248,0.401315789,0.435483871,0.631578947,0.685483871
licensed_car38,1632,918,0.486552567,0.528985507,0.559087205,0.571014493
licensed_car39,300,225,0.026666667,0.36,0.996666667,0.746666667
licensed_car40,700,466,0.221428571,0.392703863,0.45,0.551502146
licensed_car41,518,458,0.299227799,0.493449782,0.654440154,0.650655022
licensed_car42,500,409,0.052,0.640586797,0.328,0.804400978
licensed_car43,500,257,0.052,0.062256809,0.97,0.992217899
licensed_car44,1200,800,0.496666667,0.58,0.739166667,0.6625
licensed_car45,594,379,0.685185185,0.44591029,0.898989899,0.564643799
licensed_car46,588,476,0.307823129,0.586134454,0.644557823,0.737394958
licensed_car47,1024,682,0.387695313,0.617302053,0.583984375,0.708211144
licensed_car48,1280,847,0.244498778,0.343596059,0.879380603,0.626847291
licensed_car49,341,368,0.337243402,0.532608696,0.607038123,0.654891304
licensed_car50,960,1280,0.460416667,0.5515625,0.69375,0.61640625
licensed_car51,608,302,0.610197368,0.668874172,0.822368421,0.864238411
licensed_car52,469,436,0.104477612,0.669724771,0.417910448,0.793577982
licensed_car53,400,278,0.52,0.561151079,0.8875,0.701438849
licensed_car54,400,374,0.26,0.612299465,0.7025,0.770053476
licensed_car55,500,269,0.562,0.698884758,0.886,0.881040892
licensed_car56,1024,818,0.373046875,0.485330073,0.509765625,0.540342298
licensed_car57,735,529,0.201360544,0.344045369,0.39047619,0.442344045
licensed_car58,547,546,0.168190128,0.465201465,0.550274223,0.673992674
licensed_car59,500,416,0.294,0.5625,0.714,0.778846154
licensed_car60,2432,1368,0.316218419,0.530434783,0.461287694,0.617391304
licensed_car61,414,432,0.297101449,0.483796296,0.702898551,0.604166667
licensed_car62,500,245,0.012,0.040816327,0.99,1
licensed_car63,333,500,0.105105105,0.39,0.576576577,0.544
licensed_car64,305,274,0.203278689,0.481751825,0.573770492,0.693430657
licensed_car65,250,179,0.076,0.134078212,0.996,0.932960894
licensed_car66,503,439,0.184890656,0.300683371,0.719681909,0.646924829
licensed_car67,534,337,0.080524345,0.59347181,0.213483146,0.786350148
licensed_car68,736,483,0.123641304,0.612836439,0.286684783,0.712215321
licensed_car69,478,395,0.311715481,0.516455696,0.679916318,0.660759494
licensed_car70,446,282,0.365470852,0.758865248,0.683856502,0.925531915
licensed_car71,500,349,0.282,0.710601719,0.686,0.893982808
licensed_car72,500,252,0.276,0.30952381,0.762,0.738095238
licensed_car73,650,435,0.247692308,0.420689655,0.453846154,0.528735632
licensed_car74,500,372,0.318,0.438172043,0.686,0.607526882
licensed_car75,600,337,0.688333333,0.427299703,0.866666667,0.551928783
licensed_car76,500,378,0.29,0.529100529,0.65,0.661375661
licensed_car77,927,309,0.488673139,0.355987055,0.891046386,0.783171521
licensed_car78,452,274,0.340707965,0.50729927,0.659292035,0.708029197
licensed_car79,1024,768,0.545898438,0.595052083,0.828125,0.704427083
licensed_car80,445,349,0.146067416,0.395415473,0.797752809,0.716332378
licensed_car81,480,480,0.697916667,0.635416667,0.983333333,0.764583333
licensed_car82,425,290,0.221176471,0.162068966,0.847058824,0.765517241
licensed_car83,500,281,0.4,0.46975089,0.688,0.637010676
licensed_car84,371,396,0.277628032,0.527777778,0.69541779,0.696969697
licensed_car85,500,457,0.292,0.512035011,0.728,0.693654267
licensed_car86,441,363,0.453514739,0.509641873,0.816326531,0.724517906
licensed_car87,1800,1200,0.43602282,0.542787286,0.599837001,0.618581907
licensed_car88,1800,1200,0.561532192,0.475550122,0.792176039,0.621026895
licensed_car89,2285,1714,0.37000815,0.469565217,0.696821516,0.572826087
licensed_car90,462,290,0.67965368,0.35862069,0.831168831,0.510344828
licensed_car91,1000,562,0.606,0.512455516,0.782,0.629893238
licensed_car92,441,451,0.342403628,0.784922395,0.68707483,0.944567627
licensed_car93,377,244,0.153846154,0.614754098,0.453580902,0.844262295
licensed_car94,740,490,0.397297297,0.432653061,0.612162162,0.53877551
licensed_car95,959,959,0.314911366,0.437956204,0.699687174,0.556830031
licensed_car96,900,350,0.35,0.551428571,0.663333333,0.765714286
licensed_car97,350,196,0.351428571,0.596938776,0.631428571,0.867346939
licensed_car98,248,177,0.10483871,0.361581921,0.862903226,0.836158192
licensed_car99,500,291,0.202,0.402061856,0.516,0.656357388
licensed_car100,248,177,0.116935484,0.299435028,0.919354839,0.915254237
licensed_car101,248,177,0.084677419,0.316384181,0.915322581,0.870056497
licensed_car102,500,282,0.256,0.262411348,0.722,0.716312057
licensed_car103,2592,1936,0.115729421,0.098253275,0.903830481,0.370087336
licensed_car104,660,322,0.477272727,0.571428571,0.695454545,0.686335404
licensed_car105,750,562,0.016,0.190391459,0.929333333,0.711743772
licensed_car106,660,440,0.348484848,0.425,0.495454545,0.565909091
licensed_car107,350,217,0.111428571,0.170506912,0.902857143,0.875576037
licensed_car108,622,379,0.062700965,0.102902375,0.911575563,0.897097625
licensed_car109,498,313,0.084337349,0.261980831,0.827309237,0.594249201
licensed_car110,450,600,0.046666667,0.283333333,0.915555556,0.665
licensed_car111,800,600,0.06625,0.296666667,0.92875,0.541666667
licensed_car112,500,375,0.044,0.133333333,0.998,0.965333333
licensed_car113,570,400,0.028070175,0.3025,0.842105263,0.71
licensed_car114,557,520,0.333931777,0.673076923,0.685816876,0.803846154
licensed_car115,600,450,0.08,0.164444444,0.998333333,0.417777778
licensed_car116,600,450,0.191666667,0.28,0.87,0.724444444
licensed_car117,600,450,0.268333333,0.257777778,0.721666667,0.553333333
licensed_car118,480,360,0.25625,0.366666667,0.679166667,0.672222222
licensed_car119,480,360,0.027083333,0.177777778,0.98125,0.447222222
licensed_car120,496,287,0.274193548,0.536585366,0.760080645,0.766550523
licensed_car121,443,332,0.060948081,0.111445783,0.968397291,0.391566265
licensed_car122,250,166,0.024,0.198795181,0.88,0.746987952
licensed_car123,700,525,0.381428571,0.613333333,0.712857143,0.782857143
licensed_car124,400,300,0.3375,0.393333333,0.8,0.656666667
licensed_car125,500,333,0.334,0.3003003,0.7,0.492492492
licensed_car126,640,555,0.6921875,0.459459459,0.9984375,0.625225225
licensed_car127,610,338,0.314754098,0.162721893,0.996721311,0.618343195
licensed_car128,500,306,0.312,0.320261438,0.598,0.503267974
licensed_car129,500,350,0.276,0.391428571,0.756,0.594285714
licensed_car130,500,139,0.028,0.09352518,0.998,0.834532374
licensed_car131,660,432,0.343939394,0.414351852,0.578787879,0.527777778
licensed_car132,647,404,0.301391036,0.487623762,0.471406491,0.636138614
licensed_car133,500,415,0.408,0.648192771,0.714,0.913253012
licensed_car134,602,339,0.177740864,0.451327434,0.42358804,0.607669617
licensed_car135,602,370,0.212624585,0.762162162,0.509966777,0.867567568
licensed_car136,500,332,0.31,0.605421687,0.656,0.825301205
licensed_car137,583,450,0.30703259,0.582222222,0.677530017,0.748888889
licensed_car138,450,417,0.282222222,0.695443645,0.686666667,0.877697842
licensed_car139,505,343,0.047524752,0.603498542,0.293069307,0.737609329
licensed_car140,389,267,0.560411311,0.576779026,0.809768638,0.696629213
licensed_car141,500,274,0.292,0.489051095,0.79,0.715328467
licensed_car142,800,485,0.7975,0.694845361,0.93625,0.797938144
licensed_car143,484,456,0.367768595,0.449561404,0.723140496,0.600877193
licensed_car144,500,376,0.22,0.492021277,0.876,0.739361702
licensed_car145,960,720,0.329166667,0.384722222,0.74375,0.536111111
licensed_car146,600,337,0.315,0.385756677,0.595,0.540059347
licensed_car147,600,337,0.27,0.673590504,0.52,0.81305638
licensed_car148,600,337,0.191666667,0.765578635,0.691666667,0.988130564
licensed_car149,506,407,0.353754941,0.651105651,0.679841897,0.788697789
licensed_car150,500,430,0.278,0.560465116,0.684,0.730232558
licensed_car151,350,197,0.271428571,0.487309645,0.571428571,0.715736041
licensed_car152,350,467,0.342857143,0.565310493,0.657142857,0.640256959
licensed_car153,350,263,0.26,0.524714829,0.508571429,0.646387833
licensed_car154,591,479,0.301184433,0.455114823,0.675126904,0.620041754
licensed_car155,960,720,0.328125,0.388888889,0.914583333,0.545833333
licensed_car156,700,419,0.505714286,0.45823389,0.837142857,0.687350835
licensed_car157,387,317,0.162790698,0.400630915,0.751937984,0.706624606
licensed_car158,500,537,0.166,0.063314711,0.738,0.899441341
licensed_car159,1280,720,0.285248574,0.34057971,0.606356968,0.665217391
licensed_car160,1920,1080,0.529747351,0.569565217,0.662591687,0.627536232
licensed_car161,570,444,0.454385965,0.481981982,0.571929825,0.592342342
licensed_car162,320,180,0.26875,0.1,0.746875,0.322222222
licensed_car163,600,398,0.568333333,0.575376884,0.85,0.788944724
licensed_car164,650,493,0.358461538,0.752535497,0.656923077,0.872210953
licensed_car165,650,400,0.176923077,0.4325,0.489230769,0.6
licensed_car166,320,180,0.05625,0.188888889,1,0.877777778
licensed_car167,650,572,0.443076923,0.526223776,0.898461538,0.699300699
licensed_car168,642,336,0.341121495,0.419642857,0.676012461,0.586309524
licensed_car169,250,250,0.048,0.264,0.996,0.796
licensed_car170,2000,1500,0.27791361,0.294565217,0.872860636,0.719565217
licensed_car171,1300,924,0.304808476,0.729357798,0.615321923,0.847477064
licensed_car172,500,155,0.032,0.051612903,0.99,0.864516129
licensed_car173,500,268,0.442,0.455223881,0.862,0.686567164
licensed_car174,500,234,0.418,0.354700855,0.896,0.683760684
licensed_car175,503,495,0.264413519,0.44040404,0.970178926,0.856565657
licensed_car176,400,300,0.325,0.603333333,0.6575,0.75
licensed_car177,400,300,0.09,0.41,0.275,0.55
licensed_car178,725,408,0.331034483,0.644607843,0.44,0.789215686
licensed_car179,1024,685,0.379882813,0.656934307,0.5859375,0.743065693
licensed_car180,696,388,0.314655172,0.337628866,0.701149425,0.50257732
licensed_car181,800,533,0.35625,0.472795497,0.62125,0.600375235
licensed_car182,586,331,0.312286689,0.616314199,0.435153584,0.703927492
licensed_car183,500,344,0.338,0.755813953,0.716,0.86627907
licensed_car184,500,271,0.2,0.546125461,0.518,0.767527675
licensed_car185,541,423,0.38077634,0.643026005,0.648798521,0.765957447
licensed_car186,600,337,0.328333333,0.551928783,0.675,0.694362018
licensed_car187,600,400,0.388333333,0.445,0.591666667,0.56
licensed_car188,1266,453,0.621841891,0.533029613,0.827220864,0.667425968
licensed_car189,678,475,0.244837758,0.421052632,0.843657817,0.745263158
licensed_car190,350,263,0.328571429,0.326996198,0.648571429,0.44486692
licensed_car191,960,1280,0.346875,0.7296875,0.672916667,0.8296875
licensed_car192,1250,703,0.427872861,0.542028986,0.622656887,0.673913043
licensed_car193,250,250,0.012,0.088,1,0.756
licensed_car194,300,225,0.293333333,0.44,0.453333333,0.568888889
licensed_car195,361,308,0.221606648,0.409090909,0.551246537,0.597402597
licensed_car196,531,512,0.29566855,0.5234375,0.63653484,0.66015625
licensed_car197,300,404,0.373333333,0.306930693,0.776666667,0.48019802
